pvalue,Combination1,Combination2,pAdj
0.023396693195997124,F,C,0.0876438393687317
0.03505753574749268,F,E,0.0876438393687317
0.014870162318155158,H,C,0.1040911362270861
0.14515305314138477,D,A,0.21772957971207715
0.13833044793017757,D,B,0.21772957971207715
0.0285604920003337,J,C,0.2570444280030033
0.3866104444005838,I,A,0.5154805925341117
0.1691963036663682,I,B,0.5154805925341117
0.13206917455549166,I,C,0.5154805925341117
0.24109092070416388,I,D,0.5154805925341117
0.30195483136446816,I,F,0.5154805925341117
0.3230099611026248,I,G,0.5154805925341117
0.5527672907472068,B,A,0.5527672907472068
0.2778476926844117,C,B,0.5556953853688233
0.1326749003199563,J,D,0.5970370514398033
0.6238038650173444,D,C,0.6238038650173444
0.2973298014493272,L,C,0.7086420212383937
0.1336279752737637,L,E,0.7086420212383937
0.3221100096538153,L,F,0.7086420212383937
0.24319022893408654,L,H,0.7086420212383937
0.32200101434152445,L,K,0.7086420212383937
0.3648329965098239,J,A,0.7110141344536606
0.24702078836564048,J,B,0.7110141344536606
0.39500785247425585,J,E,0.7110141344536606
0.2073358026824325,H,F,0.7256753093885138
0.6572539189925182,I,E,0.7511473359914493
0.6210138093965236,H,A,0.7674318693968994
0.4378420258233816,H,D,0.7674318693968994
0.4894955595500795,H,E,0.7674318693968994
0.6577987451973424,H,G,0.7674318693968994
0.5229067747331699,J,I,0.7843601620997549
0.8240755760955276,H,B,0.8240755760955276
0.3985454435064072,G,A,0.8291745303073503
0.49162044166753205,G,B,0.8291745303073503
0.6909787752561253,G,C,0.8291745303073503
0.6204850670672126,G,D,0.8291745303073503
0.4065429256300799,G,F,0.8291745303073503
0.8806345138718021,G,E,0.8806345138718021
0.8815798347591439,E,A,0.8815798347591439
0.7974956504437684,E,B,0.8815798347591439
0.8556978734965542,E,C,0.8815798347591439
0.5295556691258029,E,D,0.8815798347591439
0.8982282039321148,I,H,0.8982282039321148
0.8437339658562973,L,A,0.9281073624419272
0.5084192979767932,L,B,0.9281073624419272
0.6124106546533583,L,G,0.9281073624419272
0.8065753613128072,L,I,0.9281073624419272
0.7764298143843059,L,J,0.9281073624419272
0.9373375598661247,C,A,0.9373375598661247
0.9478101630162787,F,A,0.9478101630162787
0.8258973537208169,F,B,0.9478101630162787
0.7383578894674566,F,D,0.9478101630162787
0.9552460969521331,J,F,0.9552460969521331
0.948306161215559,J,G,0.9552460969521331
0.9152024312987739,J,H,0.9552460969521331
0.8180201872712859,K,A,0.9765097746672621
0.7742782216289864,K,B,0.9765097746672621
0.38364521198912804,K,C,0.9765097746672621
0.8377249797226156,K,D,0.9765097746672621
0.3816537532602071,K,E,0.9765097746672621
0.7767780995679717,K,F,0.9765097746672621
0.9765097746672621,K,G,0.9765097746672621
0.6052930579596154,K,H,0.9765097746672621
0.9029073683298963,K,I,0.9765097746672621
0.9277143505569567,K,J,0.9765097746672621
0.9952843749894926,L,D,0.9952843749894926
